# Ep lEiso
208.378 -13.723
208.731 -13.811
210.574 -13.195
210.750 -13.630
211.422 -13.625
211.680 -13.666
211.693 -13.374
212.652 -13.265
213.607 -14.014
213.817 -13.954
215.004 -13.825
215.051 -14.006
216.223 -14.001
216.950 -13.897
217.377 -13.894
217.746 -13.706
219.657 -13.303
219.969 -13.243
220.053 -13.315
221.347 -14.261
221.900 -13.489
222.429 -13.888
223.099 -12.872
223.372 -14.086
224.195 -14.072
224.276 -13.547
225.795 -14.225
225.879 -13.877
226.096 -13.690
226.626 -13.599
227.138 -13.445
227.810 -13.903
228.016 -13.712
228.103 -13.770
228.407 -13.627
228.941 -13.071
229.025 -13.264
232.104 -13.720
232.110 -13.577
232.149 -13.511
232.186 -14.325
232.366 -13.607
232.612 -14.477
233.051 -13.855
233.307 -13.175
233.321 -14.081
233.371 -13.474
233.484 -13.602
234.237 -13.775
236.085 -13.839
237.005 -13.446
237.753 -14.059
237.802 -13.393
238.400 -15.595
240.779 -13.634
241.043 -14.420
241.101 -13.333
241.184 -14.232
242.161 -13.706
242.223 -15.622
243.166 -13.654
244.683 -13.094
244.730 -13.455
244.855 -13.846
245.137 -13.456
246.250 -13.139
247.775 -13.044
247.819 -13.827
248.366 -13.880
250.260 -13.452
250.322 -14.099
250.533 -13.527
250.622 -13.893
251.047 -13.267
251.065 -14.097
251.070 -13.019
252.437 -13.709
252.745 -13.734
253.787 -13.469
253.826 -13.883
254.050 -13.389
254.335 -13.567
255.033 -14.123
255.413 -12.865
256.341 -13.768
257.105 -13.077
258.167 -13.471
260.650 -13.557
262.509 -13.823
262.574 -13.600
262.838 -13.479
262.857 -13.398
263.522 -14.018
263.790 -13.683
263.931 -14.071
264.130 -14.086
265.346 -14.028
265.888 -13.669
266.168 -13.789
266.854 -13.500
267.879 -13.157
269.236 -13.216
269.676 -13.399
270.374 -13.384
272.065 -13.485
272.631 -13.712
272.802 -13.490
273.086 -13.155
274.802 -13.175
274.872 -13.865
276.438 -13.276
277.689 -15.205
279.671 -14.143
279.820 -13.604
282.482 -13.328
284.756 -13.626
284.909 -13.521
285.358 -13.380
285.934 -13.814
286.175 -14.041
286.343 -12.812
291.198 -13.428
292.221 -13.658
292.263 -14.067
292.749 -14.285
292.830 -14.600
294.193 -13.590
296.757 -13.470
297.361 -13.606
298.644 -13.685
298.715 -13.226
300.186 -13.904
300.202 -13.423
300.759 -13.403
300.968 -13.578
302.332 -13.744
302.935 -13.360
303.528 -13.081
303.532 -13.447
304.793 -13.471
305.368 -13.445
305.912 -13.584
306.290 -13.313
306.896 -13.628
307.732 -13.316
308.484 -13.101
310.284 -13.716
310.742 -13.341
310.827 -13.435
311.244 -13.860
313.335 -13.455
314.001 -13.872
315.747 -13.153
316.685 -12.796
316.926 -13.618
317.067 -13.874
319.146 -13.183
319.675 -13.725
320.027 -12.862
320.040 -12.591
321.230 -12.980
323.285 -13.568
325.321 -13.843
325.706 -13.683
325.764 -13.949
327.275 -13.572
327.292 -13.316
329.067 -13.541
330.593 -13.536
330.717 -13.457
330.801 -13.796
330.903 -14.144
332.149 -13.300
332.298 -12.971
334.263 -13.708
334.318 -13.992
335.202 -13.056
337.810 -12.912
338.765 -13.478
340.586 -13.610
342.447 -13.410
